Label,Transf.,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,TR9856,WS353,WS353R,WS353S,NER,POS,BATS,BLESS,Google,Relation Extraction (F1),Sentence Polarity (Acc),Sentiment (Acc),Subjectivity (Acc),SNLI (Acc)
original,0,0.6716,0.735,0.4454,0.8182,0.775,0.6222,0.6605,0.7083,0.7731,0.5134,0.416,0.1337,0.5719,0.5639,0.6224,0.9407,0.9053,0,0,0,0.7247,0.9104,0,0.7781,0.6634
affine0,1,0.6244,0.755,0.4236,0.7955,0.75,0.5556,0.5647,0.5103,0.6958,0.376,0.4169,0.131,0.352,0.3531,0.4045,0.9407,0.9052,0,0,0,0.7127,0.894,0,0.774,0
affine1,2,0.6294,0.71,0.4145,0.7955,0.775,0.5778,0.5661,0.5099,0.6919,0.3745,0.4163,0.1327,0.365,0.3743,0.4005,0.9407,0.9051,0,0,0,0.7204,0.9104,0,0.7774,0.6599
affine2,3,0.6716,0.735,0.4454,0.8182,0.775,0.6222,0.6605,0.7083,0.7731,0.5134,0.416,0.1337,0.5719,0.5639,0.6224,0.9425,0.9067,0,0,0,0.7215,0.9084,0,0.7822,0.6735
affine3,4,0.5821,0.675,0.4232,0.8182,0.7,0.6,0.4565,0.3709,0.5764,0.3104,0.3742,0.1264,0.2493,0.2816,0.271,0.9264,0.8918,0,0,0,0.6627,0.7832,0,0.7343,0.5923
affine4,5,0.6716,0.735,0.4454,0.8409,0.775,0.6222,0.6605,0.7083,0.7731,0.5134,0.416,0.1338,0.5719,0.5639,0.6224,0.9407,0.9053,0,0,0,0.7384,0.9076,0,0.7845,0.6638
affine5,6,0.6716,0.765,0.4454,0.8182,0.775,0.6222,0.6605,0.7083,0.7731,0.5134,0.416,0.1337,0.5719,0.5639,0.6224,0.9407,0.9052,0,0,0,0.7254,0.906,0,0.7774,0.6636
affine6,7,0.6766,0.76,0.4445,0.8182,0.825,0.6222,0.6605,0.7086,0.7721,0.5133,0.416,0.1339,0.5719,0.5639,0.6226,0.9407,0.9053,0,0,0,0.7294,0.9104,0,0.7796,0.6632
affine7,8,0.6393,0.765,0.4265,0.8182,0.775,0.6444,0.6594,0.6959,0.7542,0.5096,0.4127,0.1369,0.5565,0.5411,0.6075,0.9408,0.9052,0,0,0,0.7333,0.9092,0,0.7837,0.6609
distAE,9,0.408,0.39,0.2793,0.5909,0.575,0.5111,0.2299,0.4167,0.2944,0.2142,0.205,0.12,0.256,0.27,0.3043,0.9329,0.8993,0,0,0,0.6392,0.8312,0,0.7241,0
5nn thresh 0.01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5253,0.6924,0,0.6376,0.614
5nn thresh 0.05,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513,0.7264,0,0.6346,0.6177
5nn thresh 0.075,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5099,0.718,0,0.6533,0.6149
5nn weighted,13,0.398,0.395,0.2659,0.4545,0.5,0.4667,0.264,0.2561,0.2289,0.2756,0.1503,0.1154,0.179,0.0697,0.2708,0.9145,0.8493,0,0,0,0.6647,0.832,0,0.6994,0.6492
10nn weighted,14,0.4254,0.445,0.2825,0.5455,0.575,0.4667,0.272,0.2921,0.1013,0.2835,0.1139,0.1029,0.2974,0.2188,0.3369,0.9231,0.868,0,0,0,0.661,0.8536,0,0.726,0.647
15nn weighted,15,0.3881,0.4,0.2757,0.4773,0.65,0.4222,0.2665,0.2577,0.3563,0.2785,0.0961,0.1138,0.2795,0.2698,0.318,0.924,0.8767,0,0,0,0.6523,0.8656,0,0.7271,0
5nn,16,0.3856,0.405,0.2573,0.4773,0.6,0.4667,0.2762,0.1831,0.2544,0.2643,0.1512,0.1057,0.2346,0.1841,0.2496,0.9129,0.8493,0,0,0,0.6626,0.8444,0,0.6994,0.6486
10nn,17,0.4154,0.425,0.2743,0.5,0.575,0.4889,0.2863,0.2999,0.2605,0.3046,0.1344,0.0912,0.2494,0.1483,0.3197,0.9214,0.8692,0,0,0,0.645,0.8564,0,0.717,0.6519
15nn,18,0.408,0.435,0.2768,0.4773,0.6,0.4444,0.2974,0.3636,0.1377,0.2902,0.1261,0.1033,0.2355,0.1901,0.2389,0.921,0.8759,0,0,0,0.657,0.8636,0,0.7331,0.6553
rand,19,0.1692,0.215,0.0889,0.3864,0.5,0.3778,-0.0075,0.0017,0.0707,-0.0079,-0.0669,0.1043,0.0003,0.0729,-0.0266,0.8237,0.737,0,0,0,0.5674,0.7144,0,0.6563,0
